setting ^dummy=dummy
setting ^_ignored=[]
W0611 11:06:13.008424 139971477354304 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 11:06:15.329646 139971477354304 terminal_logging.py:55] episode = 1 | episode_len = 9 | episode_return = -1.0000 | steps = 9 | total_regret = 2.0000 | total_return = -1.0000
I0611 11:06:15.329646 139971477354304 terminal_logging.py:55] episode = 1 | episode_len = 9 | episode_return = -1.0000 | steps = 9 | total_regret = 2.0000 | total_return = -1.0000
I0611 11:06:15.345553 139971477354304 terminal_logging.py:55] episode = 2 | episode_len = 9 | episode_return = -1.0000 | steps = 18 | total_regret = 4.0000 | total_return = -2.0000
I0611 11:06:15.345553 139971477354304 terminal_logging.py:55] episode = 2 | episode_len = 9 | episode_return = -1.0000 | steps = 18 | total_regret = 4.0000 | total_return = -2.0000
I0611 11:06:15.362120 139971477354304 terminal_logging.py:55] episode = 3 | episode_len = 9 | episode_return = -1.0000 | steps = 27 | total_regret = 6.0000 | total_return = -3.0000
I0611 11:06:15.362120 139971477354304 terminal_logging.py:55] episode = 3 | episode_len = 9 | episode_return = -1.0000 | steps = 27 | total_regret = 6.0000 | total_return = -3.0000
I0611 11:06:15.378767 139971477354304 terminal_logging.py:55] episode = 4 | episode_len = 9 | episode_return = -1.0000 | steps = 36 | total_regret = 8.0000 | total_return = -4.0000
I0611 11:06:15.378767 139971477354304 terminal_logging.py:55] episode = 4 | episode_len = 9 | episode_return = -1.0000 | steps = 36 | total_regret = 8.0000 | total_return = -4.0000
I0611 11:06:15.396947 139971477354304 terminal_logging.py:55] episode = 5 | episode_len = 9 | episode_return = -1.0000 | steps = 45 | total_regret = 10.0000 | total_return = -5.0000
I0611 11:06:15.396947 139971477354304 terminal_logging.py:55] episode = 5 | episode_len = 9 | episode_return = -1.0000 | steps = 45 | total_regret = 10.0000 | total_return = -5.0000
I0611 11:06:15.414563 139971477354304 terminal_logging.py:55] episode = 6 | episode_len = 9 | episode_return = -1.0000 | steps = 54 | total_regret = 12.0000 | total_return = -6.0000
I0611 11:06:15.414563 139971477354304 terminal_logging.py:55] episode = 6 | episode_len = 9 | episode_return = -1.0000 | steps = 54 | total_regret = 12.0000 | total_return = -6.0000
I0611 11:06:15.430440 139971477354304 terminal_logging.py:55] episode = 7 | episode_len = 9 | episode_return = -1.0000 | steps = 63 | total_regret = 14.0000 | total_return = -7.0000
I0611 11:06:15.430440 139971477354304 terminal_logging.py:55] episode = 7 | episode_len = 9 | episode_return = -1.0000 | steps = 63 | total_regret = 14.0000 | total_return = -7.0000
I0611 11:06:15.448697 139971477354304 terminal_logging.py:55] episode = 8 | episode_len = 9 | episode_return = 1.0000 | steps = 72 | total_regret = 14.0000 | total_return = -6.0000
I0611 11:06:15.448697 139971477354304 terminal_logging.py:55] episode = 8 | episode_len = 9 | episode_return = 1.0000 | steps = 72 | total_regret = 14.0000 | total_return = -6.0000
I0611 11:06:15.465074 139971477354304 terminal_logging.py:55] episode = 9 | episode_len = 9 | episode_return = -1.0000 | steps = 81 | total_regret = 16.0000 | total_return = -7.0000
I0611 11:06:15.465074 139971477354304 terminal_logging.py:55] episode = 9 | episode_len = 9 | episode_return = -1.0000 | steps = 81 | total_regret = 16.0000 | total_return = -7.0000
I0611 11:06:15.482244 139971477354304 terminal_logging.py:55] episode = 10 | episode_len = 9 | episode_return = -1.0000 | steps = 90 | total_regret = 18.0000 | total_return = -8.0000
I0611 11:06:15.482244 139971477354304 terminal_logging.py:55] episode = 10 | episode_len = 9 | episode_return = -1.0000 | steps = 90 | total_regret = 18.0000 | total_return = -8.0000
I0611 11:06:15.525991 139971477354304 terminal_logging.py:55] episode = 11 | episode_len = 9 | episode_return = -1.0000 | steps = 99 | total_regret = 20.0000 | total_return = -9.0000
I0611 11:06:15.525991 139971477354304 terminal_logging.py:55] episode = 11 | episode_len = 9 | episode_return = -1.0000 | steps = 99 | total_regret = 20.0000 | total_return = -9.0000
I0611 11:06:16.214120 139971477354304 terminal_logging.py:55] episode = 12 | episode_len = 9 | episode_return = -1.0000 | steps = 108 | total_regret = 22.0000 | total_return = -10.0000
I0611 11:06:16.214120 139971477354304 terminal_logging.py:55] episode = 12 | episode_len = 9 | episode_return = -1.0000 | steps = 108 | total_regret = 22.0000 | total_return = -10.0000
I0611 11:06:16.253265 139971477354304 terminal_logging.py:55] episode = 13 | episode_len = 9 | episode_return = -1.0000 | steps = 117 | total_regret = 24.0000 | total_return = -11.0000
I0611 11:06:16.253265 139971477354304 terminal_logging.py:55] episode = 13 | episode_len = 9 | episode_return = -1.0000 | steps = 117 | total_regret = 24.0000 | total_return = -11.0000
I0611 11:06:16.290698 139971477354304 terminal_logging.py:55] episode = 14 | episode_len = 9 | episode_return = -1.0000 | steps = 126 | total_regret = 26.0000 | total_return = -12.0000
I0611 11:06:16.290698 139971477354304 terminal_logging.py:55] episode = 14 | episode_len = 9 | episode_return = -1.0000 | steps = 126 | total_regret = 26.0000 | total_return = -12.0000
I0611 11:06:16.333870 139971477354304 terminal_logging.py:55] episode = 15 | episode_len = 9 | episode_return = -1.0000 | steps = 135 | total_regret = 28.0000 | total_return = -13.0000
