setting ^expname=bsuite_id_-_catch-0
setting ^_ignored=[]
I0611 18:32:54.255663 140557911983936 tpu_client.py:54] Starting the local TPU driver.
I0611 18:32:54.274344 140557911983936 xla_bridge.py:212] Unable to initialize backend 'tpu_driver': Not found: Unable to find driver in registry given worker: local://
I0611 18:32:54.274902 140557911983936 xla_bridge.py:212] Unable to initialize backend 'gpu': Not found: Could not find registered platform with name: "cuda". Available platform names are: Host Interpreter
I0611 18:32:54.275241 140557911983936 xla_bridge.py:212] Unable to initialize backend 'tpu': Invalid argument: TpuPlatform is not available.
W0611 18:32:54.275457 140557911983936 xla_bridge.py:215] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 18:32:58.051453 140557911983936 terminal_logging.py:55] episode = 1 | episode_len = 9 | episode_return = -1.0000 | steps = 9 | total_regret = 2.0000 | total_return = -1.0000
I0611 18:32:58.051453 140557911983936 terminal_logging.py:55] episode = 1 | episode_len = 9 | episode_return = -1.0000 | steps = 9 | total_regret = 2.0000 | total_return = -1.0000
I0611 18:32:58.069143 140557911983936 terminal_logging.py:55] episode = 2 | episode_len = 9 | episode_return = -1.0000 | steps = 18 | total_regret = 4.0000 | total_return = -2.0000
I0611 18:32:58.069143 140557911983936 terminal_logging.py:55] episode = 2 | episode_len = 9 | episode_return = -1.0000 | steps = 18 | total_regret = 4.0000 | total_return = -2.0000
I0611 18:32:58.088479 140557911983936 terminal_logging.py:55] episode = 3 | episode_len = 9 | episode_return = -1.0000 | steps = 27 | total_regret = 6.0000 | total_return = -3.0000
I0611 18:32:58.088479 140557911983936 terminal_logging.py:55] episode = 3 | episode_len = 9 | episode_return = -1.0000 | steps = 27 | total_regret = 6.0000 | total_return = -3.0000
I0611 18:32:58.108289 140557911983936 terminal_logging.py:55] episode = 4 | episode_len = 9 | episode_return = -1.0000 | steps = 36 | total_regret = 8.0000 | total_return = -4.0000
I0611 18:32:58.108289 140557911983936 terminal_logging.py:55] episode = 4 | episode_len = 9 | episode_return = -1.0000 | steps = 36 | total_regret = 8.0000 | total_return = -4.0000
I0611 18:32:58.133178 140557911983936 terminal_logging.py:55] episode = 5 | episode_len = 9 | episode_return = -1.0000 | steps = 45 | total_regret = 10.0000 | total_return = -5.0000
I0611 18:32:58.133178 140557911983936 terminal_logging.py:55] episode = 5 | episode_len = 9 | episode_return = -1.0000 | steps = 45 | total_regret = 10.0000 | total_return = -5.0000
I0611 18:32:58.157765 140557911983936 terminal_logging.py:55] episode = 6 | episode_len = 9 | episode_return = -1.0000 | steps = 54 | total_regret = 12.0000 | total_return = -6.0000
I0611 18:32:58.157765 140557911983936 terminal_logging.py:55] episode = 6 | episode_len = 9 | episode_return = -1.0000 | steps = 54 | total_regret = 12.0000 | total_return = -6.0000
I0611 18:32:58.227439 140557911983936 terminal_logging.py:55] episode = 7 | episode_len = 9 | episode_return = -1.0000 | steps = 63 | total_regret = 14.0000 | total_return = -7.0000
I0611 18:32:58.227439 140557911983936 terminal_logging.py:55] episode = 7 | episode_len = 9 | episode_return = -1.0000 | steps = 63 | total_regret = 14.0000 | total_return = -7.0000
I0611 18:32:58.267110 140557911983936 terminal_logging.py:55] episode = 8 | episode_len = 9 | episode_return = -1.0000 | steps = 72 | total_regret = 16.0000 | total_return = -8.0000
I0611 18:32:58.267110 140557911983936 terminal_logging.py:55] episode = 8 | episode_len = 9 | episode_return = -1.0000 | steps = 72 | total_regret = 16.0000 | total_return = -8.0000
I0611 18:32:58.300429 140557911983936 terminal_logging.py:55] episode = 9 | episode_len = 9 | episode_return = -1.0000 | steps = 81 | total_regret = 18.0000 | total_return = -9.0000
I0611 18:32:58.300429 140557911983936 terminal_logging.py:55] episode = 9 | episode_len = 9 | episode_return = -1.0000 | steps = 81 | total_regret = 18.0000 | total_return = -9.0000
I0611 18:32:58.330422 140557911983936 terminal_logging.py:55] episode = 10 | episode_len = 9 | episode_return = -1.0000 | steps = 90 | total_regret = 20.0000 | total_return = -10.0000
I0611 18:32:58.330422 140557911983936 terminal_logging.py:55] episode = 10 | episode_len = 9 | episode_return = -1.0000 | steps = 90 | total_regret = 20.0000 | total_return = -10.0000
I0611 18:32:58.357133 140557911983936 terminal_logging.py:55] episode = 11 | episode_len = 9 | episode_return = -1.0000 | steps = 99 | total_regret = 22.0000 | total_return = -11.0000
I0611 18:32:58.357133 140557911983936 terminal_logging.py:55] episode = 11 | episode_len = 9 | episode_return = -1.0000 | steps = 99 | total_regret = 22.0000 | total_return = -11.0000
I0611 18:32:59.559656 140557911983936 terminal_logging.py:55] episode = 12 | episode_len = 9 | episode_return = -1.0000 | steps = 108 | total_regret = 24.0000 | total_return = -12.0000
I0611 18:32:59.559656 140557911983936 terminal_logging.py:55] episode = 12 | episode_len = 9 | episode_return = -1.0000 | steps = 108 | total_regret = 24.0000 | total_return = -12.0000
I0611 18:32:59.609914 140557911983936 terminal_logging.py:55] episode = 13 | episode_len = 9 | episode_return = -1.0000 | steps = 117 | total_regret = 26.0000 | total_return = -13.0000
I0611 18:32:59.609914 140557911983936 terminal_logging.py:55] episode = 13 | episode_len = 9 | episode_return = -1.0000 | steps = 117 | total_regret = 26.0000 | total_return = -13.0000
I0611 18:32:59.663063 140557911983936 terminal_logging.py:55] episode = 14 | episode_len = 9 | episode_return = -1.0000 | steps = 126 | total_regret = 28.0000 | total_return = -14.0000
I0611 18:32:59.663063 140557911983936 terminal_logging.py:55] episode = 14 | episode_len = 9 | episode_return = -1.0000 | steps = 126 | total_regret = 28.0000 | total_return = -14.0000
I0611 18:32:59.716725 140557911983936 terminal_logging.py:55] episode = 15 | episode_len = 9 | episode_return = -1.0000 | steps = 135 | total_regret = 30.0000 | total_return = -15.0000
I0611 18:32:59.716725 140557911983936 terminal_logging.py:55] episode = 15 | episode_len = 9 | episode_return = -1.0000 | steps = 135 | total_regret = 30.0000 | total_return = -15.0000
I0611 18:32:59.786816 140557911983936 terminal_logging.py:55] episode = 16 | episode_len = 9 | episode_return = -1.0000 | steps = 144 | total_regret = 32.0000 | total_return = -16.0000
I0611 18:32:59.786816 140557911983936 terminal_logging.py:55] episode = 16 | episode_len = 9 | episode_return = -1.0000 | steps = 144 | total_regret = 32.0000 | total_return = -16.0000
I0611 18:32:59.860827 140557911983936 terminal_logging.py:55] episode = 17 | episode_len = 9 | episode_return = -1.0000 | steps = 153 | total_regret = 34.0000 | total_return = -17.0000
I0611 18:32:59.860827 140557911983936 terminal_logging.py:55] episode = 17 | episode_len = 9 | episode_return = -1.0000 | steps = 153 | total_regret = 34.0000 | total_return = -17.0000
I0611 18:32:59.948297 140557911983936 terminal_logging.py:55] episode = 18 | episode_len = 9 | episode_return = -1.0000 | steps = 162 | total_regret = 36.0000 | total_return = -18.0000
I0611 18:32:59.948297 140557911983936 terminal_logging.py:55] episode = 18 | episode_len = 9 | episode_return = -1.0000 | steps = 162 | total_regret = 36.0000 | total_return = -18.0000
I0611 18:33:00.024503 140557911983936 terminal_logging.py:55] episode = 19 | episode_len = 9 | episode_return = -1.0000 | steps = 171 | total_regret = 38.0000 | total_return = -19.0000
I0611 18:33:00.024503 140557911983936 terminal_logging.py:55] episode = 19 | episode_len = 9 | episode_return = -1.0000 | steps = 171 | total_regret = 38.0000 | total_return = -19.0000
