I0611 18:54:43.852058 140080572294976 tpu_client.py:54] Starting the local TPU driver.
I0611 18:54:43.871945 140080572294976 xla_bridge.py:212] Unable to initialize backend 'tpu_driver': Not found: Unable to find driver in registry given worker: local://
I0611 18:54:43.872510 140080572294976 xla_bridge.py:212] Unable to initialize backend 'gpu': Not found: Could not find registered platform with name: "cuda". Available platform names are: Host Interpreter
I0611 18:54:43.872897 140080572294976 xla_bridge.py:212] Unable to initialize backend 'tpu': Invalid argument: TpuPlatform is not available.
W0611 18:54:43.873142 140080572294976 xla_bridge.py:215] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
setting ^expname=bsuite_id_-_catch-0
setting ^_ignored=['bsuite_id', 'catch/1']
I0611 18:54:48.443898 140080572294976 terminal_logging.py:55] episode = 1 | episode_len = 9 | episode_return = -1.0000 | steps = 9 | total_regret = 2.0000 | total_return = -1.0000
I0611 18:54:48.443898 140080572294976 terminal_logging.py:55] episode = 1 | episode_len = 9 | episode_return = -1.0000 | steps = 9 | total_regret = 2.0000 | total_return = -1.0000
I0611 18:54:48.479516 140080572294976 terminal_logging.py:55] episode = 2 | episode_len = 9 | episode_return = -1.0000 | steps = 18 | total_regret = 4.0000 | total_return = -2.0000
I0611 18:54:48.479516 140080572294976 terminal_logging.py:55] episode = 2 | episode_len = 9 | episode_return = -1.0000 | steps = 18 | total_regret = 4.0000 | total_return = -2.0000
I0611 18:54:48.515850 140080572294976 terminal_logging.py:55] episode = 3 | episode_len = 9 | episode_return = -1.0000 | steps = 27 | total_regret = 6.0000 | total_return = -3.0000
I0611 18:54:48.515850 140080572294976 terminal_logging.py:55] episode = 3 | episode_len = 9 | episode_return = -1.0000 | steps = 27 | total_regret = 6.0000 | total_return = -3.0000
I0611 18:54:48.545915 140080572294976 terminal_logging.py:55] episode = 4 | episode_len = 9 | episode_return = 1.0000 | steps = 36 | total_regret = 6.0000 | total_return = -2.0000
I0611 18:54:48.545915 140080572294976 terminal_logging.py:55] episode = 4 | episode_len = 9 | episode_return = 1.0000 | steps = 36 | total_regret = 6.0000 | total_return = -2.0000
I0611 18:54:48.573014 140080572294976 terminal_logging.py:55] episode = 5 | episode_len = 9 | episode_return = 1.0000 | steps = 45 | total_regret = 6.0000 | total_return = -1.0000
I0611 18:54:48.573014 140080572294976 terminal_logging.py:55] episode = 5 | episode_len = 9 | episode_return = 1.0000 | steps = 45 | total_regret = 6.0000 | total_return = -1.0000
I0611 18:54:48.600507 140080572294976 terminal_logging.py:55] episode = 6 | episode_len = 9 | episode_return = -1.0000 | steps = 54 | total_regret = 8.0000 | total_return = -2.0000
I0611 18:54:48.600507 140080572294976 terminal_logging.py:55] episode = 6 | episode_len = 9 | episode_return = -1.0000 | steps = 54 | total_regret = 8.0000 | total_return = -2.0000
I0611 18:54:48.638849 140080572294976 terminal_logging.py:55] episode = 7 | episode_len = 9 | episode_return = -1.0000 | steps = 63 | total_regret = 10.0000 | total_return = -3.0000
I0611 18:54:48.638849 140080572294976 terminal_logging.py:55] episode = 7 | episode_len = 9 | episode_return = -1.0000 | steps = 63 | total_regret = 10.0000 | total_return = -3.0000
I0611 18:54:48.674922 140080572294976 terminal_logging.py:55] episode = 8 | episode_len = 9 | episode_return = -1.0000 | steps = 72 | total_regret = 12.0000 | total_return = -4.0000
