setting ^bsuite_id=catch/1
setting ^save_path=/tmp/bsuite
setting ^logging_mode=buddy
setting ^overwrite=True
setting ^num_episodes=None
setting ^verbose=True
setting ^_ignored=[]
INFO:absl:Starting the local TPU driver.
INFO:absl:Unable to initialize backend 'tpu_driver': Not found: Unable to find driver in registry given worker: local://
INFO:absl:Unable to initialize backend 'gpu': Not found: Could not find registered platform with name: "cuda". Available platform names are: Host Interpreter
INFO:absl:Unable to initialize backend 'tpu': Invalid argument: TpuPlatform is not available.
WARNING:absl:No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
INFO:absl:episode = 1 | episode_len = 9 | episode_return = -1.0000 | steps = 9 | total_regret = 2.0000 | total_return = -1.0000
I0611 19:59:29.800436 140306405291840 terminal_logging.py:55] episode = 1 | episode_len = 9 | episode_return = -1.0000 | steps = 9 | total_regret = 2.0000 | total_return = -1.0000
INFO:absl:episode = 2 | episode_len = 9 | episode_return = -1.0000 | steps = 18 | total_regret = 4.0000 | total_return = -2.0000
I0611 19:59:29.817721 140306405291840 terminal_logging.py:55] episode = 2 | episode_len = 9 | episode_return = -1.0000 | steps = 18 | total_regret = 4.0000 | total_return = -2.0000
INFO:absl:episode = 3 | episode_len = 9 | episode_return = -1.0000 | steps = 27 | total_regret = 6.0000 | total_return = -3.0000
I0611 19:59:29.838556 140306405291840 terminal_logging.py:55] episode = 3 | episode_len = 9 | episode_return = -1.0000 | steps = 27 | total_regret = 6.0000 | total_return = -3.0000
INFO:absl:episode = 4 | episode_len = 9 | episode_return = -1.0000 | steps = 36 | total_regret = 8.0000 | total_return = -4.0000
I0611 19:59:29.856301 140306405291840 terminal_logging.py:55] episode = 4 | episode_len = 9 | episode_return = -1.0000 | steps = 36 | total_regret = 8.0000 | total_return = -4.0000
INFO:absl:episode = 5 | episode_len = 9 | episode_return = -1.0000 | steps = 45 | total_regret = 10.0000 | total_return = -5.0000
I0611 19:59:29.873847 140306405291840 terminal_logging.py:55] episode = 5 | episode_len = 9 | episode_return = -1.0000 | steps = 45 | total_regret = 10.0000 | total_return = -5.0000
INFO:absl:episode = 6 | episode_len = 9 | episode_return = -1.0000 | steps = 54 | total_regret = 12.0000 | total_return = -6.0000
I0611 19:59:29.895834 140306405291840 terminal_logging.py:55] episode = 6 | episode_len = 9 | episode_return = -1.0000 | steps = 54 | total_regret = 12.0000 | total_return = -6.0000
INFO:absl:episode = 7 | episode_len = 9 | episode_return = 1.0000 | steps = 63 | total_regret = 12.0000 | total_return = -5.0000
I0611 19:59:29.917094 140306405291840 terminal_logging.py:55] episode = 7 | episode_len = 9 | episode_return = 1.0000 | steps = 63 | total_regret = 12.0000 | total_return = -5.0000
INFO:absl:episode = 8 | episode_len = 9 | episode_return = -1.0000 | steps = 72 | total_regret = 14.0000 | total_return = -6.0000
I0611 19:59:29.932780 140306405291840 terminal_logging.py:55] episode = 8 | episode_len = 9 | episode_return = -1.0000 | steps = 72 | total_regret = 14.0000 | total_return = -6.0000
