setting ^expname=bsuite_id_-_catch-0
setting ^_ignored=[]
I0611 21:11:01.683044 140370663819072 tpu_client.py:54] Starting the local TPU driver.
I0611 21:11:01.744291 140370663819072 xla_bridge.py:212] Unable to initialize backend 'tpu_driver': Not found: Unable to find driver in registry given worker: local://
I0611 21:11:01.745687 140370663819072 xla_bridge.py:212] Unable to initialize backend 'gpu': Not found: Could not find registered platform with name: "cuda". Available platform names are: Interpreter Host
I0611 21:11:01.746984 140370663819072 xla_bridge.py:212] Unable to initialize backend 'tpu': Invalid argument: TpuPlatform is not available.
W0611 21:11:01.747113 140370663819072 xla_bridge.py:215] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 21:11:03.880608 140370663819072 terminal_logging.py:55] episode = 1 | episode_len = 9 | episode_return = -1.0000 | steps = 9 | total_regret = 2.0000 | total_return = -1.0000
I0611 21:11:03.880608 140370663819072 terminal_logging.py:55] episode = 1 | episode_len = 9 | episode_return = -1.0000 | steps = 9 | total_regret = 2.0000 | total_return = -1.0000
I0611 21:11:03.890081 140370663819072 terminal_logging.py:55] episode = 2 | episode_len = 9 | episode_return = -1.0000 | steps = 18 | total_regret = 4.0000 | total_return = -2.0000
I0611 21:11:03.890081 140370663819072 terminal_logging.py:55] episode = 2 | episode_len = 9 | episode_return = -1.0000 | steps = 18 | total_regret = 4.0000 | total_return = -2.0000
I0611 21:11:03.899268 140370663819072 terminal_logging.py:55] episode = 3 | episode_len = 9 | episode_return = 1.0000 | steps = 27 | total_regret = 4.0000 | total_return = -1.0000
I0611 21:11:03.899268 140370663819072 terminal_logging.py:55] episode = 3 | episode_len = 9 | episode_return = 1.0000 | steps = 27 | total_regret = 4.0000 | total_return = -1.0000
I0611 21:11:03.909427 140370663819072 terminal_logging.py:55] episode = 4 | episode_len = 9 | episode_return = -1.0000 | steps = 36 | total_regret = 6.0000 | total_return = -2.0000
I0611 21:11:03.909427 140370663819072 terminal_logging.py:55] episode = 4 | episode_len = 9 | episode_return = -1.0000 | steps = 36 | total_regret = 6.0000 | total_return = -2.0000
I0611 21:11:03.919786 140370663819072 terminal_logging.py:55] episode = 5 | episode_len = 9 | episode_return = -1.0000 | steps = 45 | total_regret = 8.0000 | total_return = -3.0000
I0611 21:11:03.919786 140370663819072 terminal_logging.py:55] episode = 5 | episode_len = 9 | episode_return = -1.0000 | steps = 45 | total_regret = 8.0000 | total_return = -3.0000
I0611 21:11:03.934671 140370663819072 terminal_logging.py:55] episode = 6 | episode_len = 9 | episode_return = -1.0000 | steps = 54 | total_regret = 10.0000 | total_return = -4.0000
I0611 21:11:03.934671 140370663819072 terminal_logging.py:55] episode = 6 | episode_len = 9 | episode_return = -1.0000 | steps = 54 | total_regret = 10.0000 | total_return = -4.0000
I0611 21:11:03.946311 140370663819072 terminal_logging.py:55] episode = 7 | episode_len = 9 | episode_return = 1.0000 | steps = 63 | total_regret = 10.0000 | total_return = -3.0000
I0611 21:11:03.946311 140370663819072 terminal_logging.py:55] episode = 7 | episode_len = 9 | episode_return = 1.0000 | steps = 63 | total_regret = 10.0000 | total_return = -3.0000
I0611 21:11:03.956378 140370663819072 terminal_logging.py:55] episode = 8 | episode_len = 9 | episode_return = -1.0000 | steps = 72 | total_regret = 12.0000 | total_return = -4.0000
I0611 21:11:03.956378 140370663819072 terminal_logging.py:55] episode = 8 | episode_len = 9 | episode_return = -1.0000 | steps = 72 | total_regret = 12.0000 | total_return = -4.0000
I0611 21:11:03.966972 140370663819072 terminal_logging.py:55] episode = 9 | episode_len = 9 | episode_return = -1.0000 | steps = 81 | total_regret = 14.0000 | total_return = -5.0000
I0611 21:11:03.966972 140370663819072 terminal_logging.py:55] episode = 9 | episode_len = 9 | episode_return = -1.0000 | steps = 81 | total_regret = 14.0000 | total_return = -5.0000
I0611 21:11:03.976563 140370663819072 terminal_logging.py:55] episode = 10 | episode_len = 9 | episode_return = -1.0000 | steps = 90 | total_regret = 16.0000 | total_return = -6.0000
I0611 21:11:03.976563 140370663819072 terminal_logging.py:55] episode = 10 | episode_len = 9 | episode_return = -1.0000 | steps = 90 | total_regret = 16.0000 | total_return = -6.0000
I0611 21:11:03.986630 140370663819072 terminal_logging.py:55] episode = 11 | episode_len = 9 | episode_return = 1.0000 | steps = 99 | total_regret = 16.0000 | total_return = -5.0000
I0611 21:11:03.986630 140370663819072 terminal_logging.py:55] episode = 11 | episode_len = 9 | episode_return = 1.0000 | steps = 99 | total_regret = 16.0000 | total_return = -5.0000
I0611 21:11:04.519981 140370663819072 terminal_logging.py:55] episode = 12 | episode_len = 9 | episode_return = -1.0000 | steps = 108 | total_regret = 18.0000 | total_return = -6.0000
I0611 21:11:04.519981 140370663819072 terminal_logging.py:55] episode = 12 | episode_len = 9 | episode_return = -1.0000 | steps = 108 | total_regret = 18.0000 | total_return = -6.0000
I0611 21:11:04.550167 140370663819072 terminal_logging.py:55] episode = 13 | episode_len = 9 | episode_return = -1.0000 | steps = 117 | total_regret = 20.0000 | total_return = -7.0000
I0611 21:11:04.550167 140370663819072 terminal_logging.py:55] episode = 13 | episode_len = 9 | episode_return = -1.0000 | steps = 117 | total_regret = 20.0000 | total_return = -7.0000
I0611 21:11:04.578431 140370663819072 terminal_logging.py:55] episode = 14 | episode_len = 9 | episode_return = -1.0000 | steps = 126 | total_regret = 22.0000 | total_return = -8.0000
I0611 21:11:04.578431 140370663819072 terminal_logging.py:55] episode = 14 | episode_len = 9 | episode_return = -1.0000 | steps = 126 | total_regret = 22.0000 | total_return = -8.0000
I0611 21:11:04.610618 140370663819072 terminal_logging.py:55] episode = 15 | episode_len = 9 | episode_return = 1.0000 | steps = 135 | total_regret = 22.0000 | total_return = -7.0000
I0611 21:11:04.610618 140370663819072 terminal_logging.py:55] episode = 15 | episode_len = 9 | episode_return = 1.0000 | steps = 135 | total_regret = 22.0000 | total_return = -7.0000
I0611 21:11:04.646853 140370663819072 terminal_logging.py:55] episode = 16 | episode_len = 9 | episode_return = 1.0000 | steps = 144 | total_regret = 22.0000 | total_return = -6.0000
I0611 21:11:04.646853 140370663819072 terminal_logging.py:55] episode = 16 | episode_len = 9 | episode_return = 1.0000 | steps = 144 | total_regret = 22.0000 | total_return = -6.0000
I0611 21:11:04.675719 140370663819072 terminal_logging.py:55] episode = 17 | episode_len = 9 | episode_return = 1.0000 | steps = 153 | total_regret = 22.0000 | total_return = -5.0000
I0611 21:11:04.675719 140370663819072 terminal_logging.py:55] episode = 17 | episode_len = 9 | episode_return = 1.0000 | steps = 153 | total_regret = 22.0000 | total_return = -5.0000
I0611 21:11:04.710408 140370663819072 terminal_logging.py:55] episode = 18 | episode_len = 9 | episode_return = -1.0000 | steps = 162 | total_regret = 24.0000 | total_return = -6.0000
I0611 21:11:04.710408 140370663819072 terminal_logging.py:55] episode = 18 | episode_len = 9 | episode_return = -1.0000 | steps = 162 | total_regret = 24.0000 | total_return = -6.0000
I0611 21:11:04.740140 140370663819072 terminal_logging.py:55] episode = 19 | episode_len = 9 | episode_return = -1.0000 | steps = 171 | total_regret = 26.0000 | total_return = -7.0000
I0611 21:11:04.740140 140370663819072 terminal_logging.py:55] episode = 19 | episode_len = 9 | episode_return = -1.0000 | steps = 171 | total_regret = 26.0000 | total_return = -7.0000
I0611 21:11:04.771510 140370663819072 terminal_logging.py:55] episode = 20 | episode_len = 9 | episode_return = -1.0000 | steps = 180 | total_regret = 28.0000 | total_return = -8.0000
I0611 21:11:04.771510 140370663819072 terminal_logging.py:55] episode = 20 | episode_len = 9 | episode_return = -1.0000 | steps = 180 | total_regret = 28.0000 | total_return = -8.0000
I0611 21:11:04.801636 140370663819072 terminal_logging.py:55] episode = 21 | episode_len = 9 | episode_return = -1.0000 | steps = 189 | total_regret = 30.0000 | total_return = -9.0000
I0611 21:11:04.801636 140370663819072 terminal_logging.py:55] episode = 21 | episode_len = 9 | episode_return = -1.0000 | steps = 189 | total_regret = 30.0000 | total_return = -9.0000
I0611 21:11:04.829282 140370663819072 terminal_logging.py:55] episode = 22 | episode_len = 9 | episode_return = -1.0000 | steps = 198 | total_regret = 32.0000 | total_return = -10.0000
I0611 21:11:04.829282 140370663819072 terminal_logging.py:55] episode = 22 | episode_len = 9 | episode_return = -1.0000 | steps = 198 | total_regret = 32.0000 | total_return = -10.0000
I0611 21:11:04.856843 140370663819072 terminal_logging.py:55] episode = 23 | episode_len = 9 | episode_return = 1.0000 | steps = 207 | total_regret = 32.0000 | total_return = -9.0000
I0611 21:11:04.856843 140370663819072 terminal_logging.py:55] episode = 23 | episode_len = 9 | episode_return = 1.0000 | steps = 207 | total_regret = 32.0000 | total_return = -9.0000
I0611 21:11:04.882913 140370663819072 terminal_logging.py:55] episode = 24 | episode_len = 9 | episode_return = 1.0000 | steps = 216 | total_regret = 32.0000 | total_return = -8.0000
I0611 21:11:04.882913 140370663819072 terminal_logging.py:55] episode = 24 | episode_len = 9 | episode_return = 1.0000 | steps = 216 | total_regret = 32.0000 | total_return = -8.0000
I0611 21:11:04.910035 140370663819072 terminal_logging.py:55] episode = 25 | episode_len = 9 | episode_return = -1.0000 | steps = 225 | total_regret = 34.0000 | total_return = -9.0000
I0611 21:11:04.910035 140370663819072 terminal_logging.py:55] episode = 25 | episode_len = 9 | episode_return = -1.0000 | steps = 225 | total_regret = 34.0000 | total_return = -9.0000
I0611 21:11:04.939385 140370663819072 terminal_logging.py:55] episode = 26 | episode_len = 9 | episode_return = -1.0000 | steps = 234 | total_regret = 36.0000 | total_return = -10.0000
I0611 21:11:04.939385 140370663819072 terminal_logging.py:55] episode = 26 | episode_len = 9 | episode_return = -1.0000 | steps = 234 | total_regret = 36.0000 | total_return = -10.0000
